ID,createdAt,createdBy,modifiedAt,modifiedBy,materialNumber,description,materialGroup_ID,baseUnit,standardPrice,currency_code,weight,weightUnit,leadTimeDays,minimumOrderQuantity,active
23ca3651-d389-5646-8a4d-d24fb3e26384,2025-05-23T08:00:00Z,system,2025-05-23T08:00:00Z,system,MAT000000000000001,Stainless Steel Sheet 01,2acb4523-efa8-5113-8671-718f714e827d,SET,2261.58,EUR,62.641,KG,30,10.000,True
b03f0dc2-a9e5-5330-affe-38e1a3e58c73,2025-05-24T08:00:00Z,system,2025-05-24T08:00:00Z,system,MAT000000000000002,Aluminium Profile 01,78a29834-2f00-5ddb-98ac-157ca6d78bba,L,277.09,EUR,74.414,KG,60,100.000,True
b565639f-0e27-5958-90ec-8e31f21798a1,2025-05-25T08:00:00Z,system,2025-05-25T08:00:00Z,system,MAT000000000000003,Copper Wire 01,759df8ed-dbb8-5ebd-b398-95fa7f470c78,KG,6.75,EUR,102.513,KG,44,50.000,True
6be44d6c-c457-5100-971c-5640df33eb4b,2025-05-26T08:00:00Z,system,2025-05-26T08:00:00Z,system,MAT000000000000004,Ball Bearing 01,796ae5a3-0afd-5325-bbfe-ed77e933b62e,SET,476.16,EUR,71.982,KG,57,25.000,True
7a0dddce-a54b-5ce2-932f-2cf37ea670f6,2025-05-27T08:00:00Z,system,2025-05-27T08:00:00Z,system,MAT000000000000005,Hex Bolt 01,352f8b23-c4e6-5bc1-9928-e3680bd83e0d,EA,1379.96,EUR,56.233,KG,10,1.000,True
f6f54dcc-7dd4-5c4e-aa26-edca535dced2,2025-05-28T08:00:00Z,system,2025-05-28T08:00:00Z,system,MAT000000000000006,Electric Motor 01,bff32fdb-82c9-50b2-a43e-d228c5ac24ac,SET,225.57,EUR,118.183,KG,44,5.000,True
b3dbfa26-3c04-523e-a8d7-8b4485baefb6,2025-05-29T08:00:00Z,system,2025-05-29T08:00:00Z,system,MAT000000000000007,Pressure Sensor 01,f35026fa-060f-5f11-9a86-269f5666b8e4,EA,332.10,EUR,92.442,KG,26,20.000,True
3e5204f6-3370-5c61-92de-50e60340d4c4,2025-05-30T08:00:00Z,system,2025-05-30T08:00:00Z,system,MAT000000000000008,PLC Module 01,4c63ca08-088d-5a08-992c-d37a3c07121b,SET,989.59,EUR,55.572,KG,56,20.000,True
73253cdf-d4e6-5749-9bda-81b380de990d,2025-05-31T08:00:00Z,system,2025-05-31T08:00:00Z,system,MAT000000000000009,Ethernet Cable 01,55c4127a-8e0c-57e2-8b89-bed0198148ef,L,692.77,EUR,51.118,KG,40,1.000,True
6d2735d4-0448-53f2-b4da-81a2b822e099,2025-06-01T08:00:00Z,system,2025-06-01T08:00:00Z,system,MAT000000000000010,Corrugated Carton 01,f9b30b47-6010-5ad9-82f0-806e9aade65e,KG,26.47,EUR,14.481,KG,21,1.000,True
b6bc1653-27d5-583b-ba09-0b3325b8db55,2025-06-02T08:00:00Z,system,2025-06-02T08:00:00Z,system,MAT000000000000011,Stretch Film 01,10530ccc-b6a7-5f3b-9f30-768a03cef30c,SET,620.42,EUR,112.867,KG,19,50.000,True
20b9081b-2fb8-5ca6-99f3-12478b5fce53,2025-06-03T08:00:00Z,system,2025-06-03T08:00:00Z,system,MAT000000000000012,Safety Gloves 01,a0f96efb-e3df-5d04-bbd8-f7c638ce31b7,KG,12.14,EUR,42.233,KG,45,50.000,True
1455dc98-f7ae-5a52-9c81-dc7663903a45,2025-06-04T08:00:00Z,system,2025-06-04T08:00:00Z,system,MAT000000000000013,Protective Glasses 01,b708786d-78bc-5ffa-b86f-456f57af9cad,KG,24.89,EUR,27.683,KG,3,5.000,True
19b64704-248d-5db5-b479-bb7989cf5373,2025-06-05T08:00:00Z,system,2025-06-05T08:00:00Z,system,MAT000000000000014,Hydraulic Hose 01,d055653d-a48f-5b95-aa61-6d89d00e4ec6,M,1698.65,EUR,29.240,KG,49,5.000,True
747bd910-e2d1-5080-b88a-7ef1a35ac5f6,2025-06-06T08:00:00Z,system,2025-06-06T08:00:00Z,system,MAT000000000000015,Pneumatic Cylinder 01,dd52a956-8e5a-5bc2-85fa-089f9fa3ed5f,BOX,1314.56,EUR,113.794,KG,9,1.000,True
12c9f3ae-d18d-52d5-8792-59bbe20067a0,2025-06-07T08:00:00Z,system,2025-06-07T08:00:00Z,system,MAT000000000000016,Industrial Filter 01,55b98412-a87c-5d06-99b1-b52e5bf7ce0f,L,1528.50,EUR,31.733,KG,44,100.000,True
15363821-3683-51e9-ad4d-1410e9a22f30,2025-06-08T08:00:00Z,system,2025-06-08T08:00:00Z,system,MAT000000000000017,Gear Oil 01,2658df6b-27d3-5402-9299-f7c0d6729824,EA,723.42,EUR,11.632,KG,12,50.000,True
d80537fd-c1c9-5741-8e8d-02dd52dc79bd,2025-06-09T08:00:00Z,system,2025-06-09T08:00:00Z,system,MAT000000000000018,Control Valve 01,777e7c37-1e75-51c3-ae1f-c155fd09bb99,KG,24.08,EUR,3.673,KG,12,100.000,True
1b34037e-a23b-5ef9-ab8d-bcd7b335e9a7,2025-06-10T08:00:00Z,system,2025-06-10T08:00:00Z,system,MAT000000000000019,Drill Bit Set 01,e4cee72f-aec8-50d7-9b62-f7b616ca4094,M,1453.70,EUR,3.690,KG,7,100.000,True
ef275a33-8e1e-5f24-916e-3b7ac4715837,2025-06-11T08:00:00Z,system,2025-06-11T08:00:00Z,system,MAT000000000000020,Laptop Computer 01,b8ea0922-f2ef-5e72-a3b7-5f823c043cf9,KG,25.98,EUR,14.948,KG,56,100.000,True
1c4ef249-806e-5239-b35d-6fc1794e743f,2025-06-12T08:00:00Z,system,2025-06-12T08:00:00Z,system,MAT000000000000021,Barcode Scanner 01,2edc4fcd-5750-5cec-9cab-555863e23975,SET,195.90,EUR,59.150,KG,55,25.000,True
f968e107-0cac-5cfd-a628-d3aa05f1e38d,2025-06-13T08:00:00Z,system,2025-06-13T08:00:00Z,system,MAT000000000000022,Cleaning Concentrate 01,8dd5d572-569a-56bd-acd8-3be0728ad8a5,EA,990.48,EUR,63.620,KG,49,5.000,True
eca867c4-ec3b-52d0-826e-e72c7e331d21,2025-06-14T08:00:00Z,system,2025-06-14T08:00:00Z,system,MAT000000000000023,Laboratory Beaker 01,caf36b91-af87-53fc-8158-13f91aade9d5,BOX,1204.94,EUR,3.272,KG,20,50.000,False
67ab40a1-5f15-54bf-b6a1-2a4a39b94193,2025-06-15T08:00:00Z,system,2025-06-15T08:00:00Z,system,MAT000000000000024,PVC Pipe 01,e70d53aa-bb36-5382-8414-f85fb1b4cacb,M,2369.63,EUR,69.124,KG,49,25.000,True
f95fbe47-9c5c-5d2b-a38e-c84f39513733,2025-06-16T08:00:00Z,system,2025-06-16T08:00:00Z,system,MAT000000000000025,Circuit Breaker 01,691d9e13-4d57-593c-acb4-8ff0871f82d9,M,629.92,EUR,107.879,KG,3,100.000,True
a1de9ed1-ec0e-5ccc-86a4-1980e3dfb1ed,2025-06-17T08:00:00Z,system,2025-06-17T08:00:00Z,system,MAT000000000000026,Power Supply 01,2acb4523-efa8-5113-8671-718f714e827d,L,493.23,EUR,44.223,KG,10,20.000,True
b73f763a-3d8c-562e-9549-a6941040255f,2025-06-18T08:00:00Z,system,2025-06-18T08:00:00Z,system,MAT000000000000027,Conveyor Belt 01,78a29834-2f00-5ddb-98ac-157ca6d78bba,EA,799.65,EUR,24.529,KG,35,5.000,True
30e34ede-6271-5109-8dcc-7f95af88f2f3,2025-06-19T08:00:00Z,system,2025-06-19T08:00:00Z,system,MAT000000000000028,Rubber Gasket 01,759df8ed-dbb8-5ebd-b398-95fa7f470c78,BOX,1917.18,EUR,90.846,KG,43,5.000,True
612fada6-761e-5f21-9247-4531ae1ea588,2025-06-20T08:00:00Z,system,2025-06-20T08:00:00Z,system,MAT000000000000029,Welding Electrode 01,796ae5a3-0afd-5325-bbfe-ed77e933b62e,L,444.95,EUR,28.026,KG,58,5.000,True
cfcda226-532c-599e-8ba1-da4625eb5246,2025-06-21T08:00:00Z,system,2025-06-21T08:00:00Z,system,MAT000000000000030,Adhesive Sealant 01,352f8b23-c4e6-5bc1-9928-e3680bd83e0d,EA,1914.33,EUR,17.051,KG,2,20.000,True
33565d42-f2c6-5728-b582-d95f8618e410,2025-06-22T08:00:00Z,system,2025-06-22T08:00:00Z,system,MAT000000000000031,Stainless Steel Sheet 02,bff32fdb-82c9-50b2-a43e-d228c5ac24ac,BOX,1349.63,EUR,43.171,KG,50,100.000,True
22447b3a-3dd0-58e6-a0a5-422538c79c8f,2025-06-23T08:00:00Z,system,2025-06-23T08:00:00Z,system,MAT000000000000032,Aluminium Profile 02,f35026fa-060f-5f11-9a86-269f5666b8e4,BOX,908.16,EUR,114.582,KG,49,50.000,True
62a2158d-64d0-547a-b140-23e19a0b0820,2025-06-24T08:00:00Z,system,2025-06-24T08:00:00Z,system,MAT000000000000033,Copper Wire 02,4c63ca08-088d-5a08-992c-d37a3c07121b,BOX,1598.71,EUR,56.553,KG,40,1.000,True
8a9aca99-35d6-5da5-8c10-babbacfc2c60,2025-06-25T08:00:00Z,system,2025-06-25T08:00:00Z,system,MAT000000000000034,Ball Bearing 02,55c4127a-8e0c-57e2-8b89-bed0198148ef,BOX,755.66,EUR,19.687,KG,5,20.000,True
a1a5bad0-30ca-5727-b1d6-9e34f59daa2c,2025-06-26T08:00:00Z,system,2025-06-26T08:00:00Z,system,MAT000000000000035,Hex Bolt 02,f9b30b47-6010-5ad9-82f0-806e9aade65e,BOX,696.88,EUR,32.914,KG,12,50.000,True
437ef9de-cfe9-5599-8502-13a53e958016,2025-06-27T08:00:00Z,system,2025-06-27T08:00:00Z,system,MAT000000000000036,Electric Motor 02,10530ccc-b6a7-5f3b-9f30-768a03cef30c,KG,11.90,EUR,75.514,KG,32,50.000,True
