ID,createdAt,createdBy,modifiedAt,modifiedBy,purchaseOrderNumber,supplier_ID,plant_ID,buyer_ID,orderDate,deliveryDate,status,currency_code,netAmount,taxAmount,totalAmount,paymentTerms,incoterm,approvedBy_ID,approvedAt,notes
b8a209e1-4c7a-5ec8-b90f-12b83de64671,2026-05-03T08:00:00Z,system,2026-05-03T08:00:00Z,system,4500000001,0e7989e3-b333-5cb4-9f42-168c3ddc0475,9f6bd345-59f3-56b7-b1b4-8a3e5fab6656,7c801ba4-5463-5410-bdfc-fb9770b2a7c7,2026-05-03,2026-07-08,COMPLETED,EUR,373693.75,71001.81,444695.56,0003,CIP,91e632eb-67bf-5d38-a8b5-8e84d43dd62b,2026-05-06T08:00:00Z,Project-specific procurement
c2e4b784-59ee-58e9-8a6b-b9ca0eb71821,2026-04-08T08:00:00Z,system,2026-04-08T08:00:00Z,system,4500000002,884f5851-1e34-5f63-ad75-a94a773d1ad3,9f6bd345-59f3-56b7-b1b4-8a3e5fab6656,deb3fb29-3383-5c3d-9343-4b0681551f8f,2026-04-08,2026-05-20,COMPLETED,EUR,75873.61,14415.99,90289.60,Z060,FCA,0737d81c-800f-585f-8a81-5742f5aa93a6,2026-04-08T08:00:00Z,Standard procurement order
cf9381bb-0ecc-57fe-ad79-ecf17607cb18,2026-02-14T08:00:00Z,system,2026-02-14T08:00:00Z,system,4500000003,359fa532-4eff-5ff0-b581-ecd02cbc2439,51ca2c43-9865-5eed-88e1-7efd0be651e9,78f316cf-bc76-5bab-9068-b36833d8b019,2026-02-14,2026-04-04,ORDERED,EUR,133056.04,30602.89,163658.93,0003,CIP,0737d81c-800f-585f-8a81-5742f5aa93a6,2026-02-15T08:00:00Z,Priority supplier order
b665e407-7416-5ae2-bb6c-c37ab9dbb5b6,2026-04-10T08:00:00Z,system,2026-04-10T08:00:00Z,system,4500000004,fc881ce9-571f-5e00-8519-4a0a92991103,26221d5e-2e66-5ea9-8c4d-30720ed59583,762dab21-f406-51e5-938f-353039145619,2026-04-10,2026-05-04,ORDERED,EUR,332866.96,59916.05,392783.01,Z045,EXW,78f316cf-bc76-5bab-9068-b36833d8b019,2026-04-13T08:00:00Z,Standard procurement order
20234219-565c-5096-a804-ab4c5416e5b8,2026-05-02T08:00:00Z,system,2026-05-02T08:00:00Z,system,4500000005,bd1f39ee-0971-5fa0-b5e0-5483a5478547,89693957-df41-5038-b06b-8fcd13674f65,f4bfe1cc-a9ff-5838-84b3-8d0b8a482a8d,2026-05-02,2026-05-22,COMPLETED,PLN,907545.64,208735.50,1116281.14,0001,FCA,78f316cf-bc76-5bab-9068-b36833d8b019,2026-05-04T08:00:00Z,
7d2cbb2c-ab59-5e66-b77c-d20645b0689e,2025-11-01T08:00:00Z,system,2025-11-01T08:00:00Z,system,4500000006,b87c753c-6aec-5a34-986e-6b7063eb1eb3,5528724a-ec45-5c0d-ac18-8666390c638c,d778b989-a675-5d3f-8009-55dfeceec6f9,2025-11-01,2025-12-05,ORDERED,GBP,45078.50,9466.48,54544.98,Z045,CIP,78f316cf-bc76-5bab-9068-b36833d8b019,2025-11-03T08:00:00Z,Project-specific procurement
2adcf972-70db-5cca-9d36-18c043dbeab9,2026-04-28T08:00:00Z,system,2026-04-28T08:00:00Z,system,4500000007,0a065745-a966-5f0d-8fc3-ddeaa9abdfec,78e17b4f-64d9-5a1f-8e02-e8a798b67ff0,24356e6d-8de5-5316-88e3-702cdfd23228,2026-04-28,2026-05-20,COMPLETED,EUR,304856.33,57922.70,362779.03,0003,CPT,d925509d-9c4c-55ac-990d-b19752aa437c,2026-04-30T08:00:00Z,Priority supplier order
0a62cb65-3c53-58fd-a537-10474a522d51,2026-03-04T08:00:00Z,system,2026-03-04T08:00:00Z,system,4500000008,c9e9137a-fbd0-5b48-86f9-b6693cb7cf2f,329ee744-d62e-5fc4-a06d-cd6019444aa8,4cc33be3-e381-5651-8754-1dfb4784e453,2026-03-04,2026-04-16,COMPLETED,CAD,178767.26,33965.78,212733.04,0001,CIP,91e632eb-67bf-5d38-a8b5-8e84d43dd62b,2026-03-06T08:00:00Z,
ce042739-821f-57b6-9cd5-2072dd6ee887,2025-10-13T08:00:00Z,system,2025-10-13T08:00:00Z,system,4500000009,0a065745-a966-5f0d-8fc3-ddeaa9abdfec,34b80a58-c167-5ea6-9b2c-d151aa2ea5a3,8e723945-6a6c-5803-a42e-c1347adfc586,2025-10-13,2025-10-26,COMPLETED,EUR,22954.95,4361.44,27316.39,0003,CPT,c7e3e4e0-4eb0-57ed-973a-248aa1d4166f,2025-10-14T08:00:00Z,Quarterly replenishment
f9d9eec2-abb0-5f2e-bc4d-64834508b26f,2026-01-14T08:00:00Z,system,2026-01-14T08:00:00Z,system,4500000010,93067b6e-59b9-55e4-837d-0482b5bedd04,3e8df789-1fad-5f45-9e4e-ae08a2240191,f4bfe1cc-a9ff-5838-84b3-8d0b8a482a8d,2026-01-14,2026-02-21,COMPLETED,EUR,26740.32,6150.27,32890.59,Z030,DDP,2cd38cf3-5347-5c8e-9bec-7cbfde8bcfb8,2026-01-17T08:00:00Z,Priority supplier order
384eae6c-ac31-5ef3-a7f4-675077191111,2026-01-17T08:00:00Z,system,2026-01-17T08:00:00Z,system,4500000011,b2062365-15e8-5d1c-ae5c-a2c4459e969a,3e8df789-1fad-5f45-9e4e-ae08a2240191,7c801ba4-5463-5410-bdfc-fb9770b2a7c7,2026-01-17,2026-03-10,COMPLETED,CAD,38442.78,8072.98,46515.76,0003,EXW,4deefa0a-1e41-5a72-a113-c2b82a9ea70b,2026-01-19T08:00:00Z,Project-specific procurement
f59da89c-1518-5545-8d23-6cb882cf7d55,2025-12-22T08:00:00Z,system,2025-12-22T08:00:00Z,system,4500000012,6da4b9d9-a7ad-549b-9ffd-2b4f6a0184ea,26221d5e-2e66-5ea9-8c4d-30720ed59583,113128ae-1f79-5f39-8c07-f3d07a663bae,2025-12-22,2026-01-10,COMPLETED,CHF,346172.67,79619.71,425792.38,0002,DAP,78f316cf-bc76-5bab-9068-b36833d8b019,2025-12-24T08:00:00Z,Quarterly replenishment
22c10ab8-a747-58a5-89f3-7f31ec59eeec,2026-06-06T08:00:00Z,system,2026-06-06T08:00:00Z,system,4500000013,5fbcdd4c-a131-52b4-b068-b19472e199e6,e294ac9d-bd77-5078-ba31-f74bebb60488,0a9b9cf2-8c50-54fd-b243-53899f77bb55,2026-06-06,2026-06-26,SUBMITTED,GBP,81538.62,17123.11,98661.73,Z045,EXW,,,Standard procurement order
efcb835d-d6db-5477-8de3-4c989078008c,2026-07-27T08:00:00Z,system,2026-07-27T08:00:00Z,system,4500000014,93067b6e-59b9-55e4-837d-0482b5bedd04,efd8a8e4-0bb8-5f9e-be95-16451417acb0,7c801ba4-5463-5410-bdfc-fb9770b2a7c7,2026-07-27,2026-09-27,ORDERED,EUR,417553.60,75159.65,492713.25,Z030,DDP,c7e3e4e0-4eb0-57ed-973a-248aa1d4166f,2026-07-30T08:00:00Z,Quarterly replenishment
1890c026-a5e3-58ef-8ada-d194fa5c42d7,2026-04-09T08:00:00Z,system,2026-04-09T08:00:00Z,system,4500000015,b15dfe01-245c-5c44-b8e3-e4299119c304,12473360-94f1-5fba-a391-36ce9d7f31be,bf01dabf-7f6b-5183-895b-36a5584e7d8d,2026-04-09,2026-04-23,SUBMITTED,EUR,17355.58,3124.00,20479.58,Z030,EXW,,,
f60dea83-af3d-5ef6-9692-be9312dde5ae,2026-06-01T08:00:00Z,system,2026-06-01T08:00:00Z,system,4500000016,d793f1b1-63cb-5e54-90fc-fbfc7ddf9248,03aef187-5272-56c7-bfc4-cf8b61ecf06b,e1c1d5bd-6452-5e7c-9911-1b5d499df0eb,2026-06-01,2026-06-23,COMPLETED,EUR,171180.71,35947.95,207128.66,Z045,DAP,78f316cf-bc76-5bab-9068-b36833d8b019,2026-06-03T08:00:00Z,Priority supplier order
dfa02dd6-7cc8-586f-9c69-1ae66adb01aa,2025-11-19T08:00:00Z,system,2025-11-19T08:00:00Z,system,4500000017,2a64ab18-32db-5e0b-85a4-bd5238baa6d3,e6d386f5-8b03-578e-aca0-68c8e68a10d1,2cd38cf3-5347-5c8e-9bec-7cbfde8bcfb8,2025-11-19,2025-12-22,COMPLETED,DKK,304270.16,57811.33,362081.49,0003,DDP,4deefa0a-1e41-5a72-a113-c2b82a9ea70b,2025-11-20T08:00:00Z,Quarterly replenishment
74de987d-acae-51f4-a3a4-030ff35a7b11,2026-02-23T08:00:00Z,system,2026-02-23T08:00:00Z,system,4500000018,3b018b68-0323-520e-b88f-fd6f1a05e7b9,51ca2c43-9865-5eed-88e1-7efd0be651e9,c7e3e4e0-4eb0-57ed-973a-248aa1d4166f,2026-02-23,2026-03-08,COMPLETED,CZK,3487630.44,627773.48,4115403.92,Z060,FCA,2cd38cf3-5347-5c8e-9bec-7cbfde8bcfb8,2026-02-25T08:00:00Z,Project-specific procurement
83835ca3-e509-59df-99bb-980b845a3df6,2026-05-22T08:00:00Z,system,2026-05-22T08:00:00Z,system,4500000019,d2bf3709-0518-53ca-af9e-9b58adb6c37d,03aef187-5272-56c7-bfc4-cf8b61ecf06b,53657725-cc33-52fa-bf83-e8ebce35acc6,2026-05-22,2026-06-28,DRAFT,EUR,202797.02,42587.37,245384.39,0003,CPT,,,Project-specific procurement
