ID,createdAt,createdBy,modifiedAt,modifiedBy,requisitionNumber,requester_ID,plant_ID,requestDate,requiredDate,status,priority,justification,estimatedValue,currency_code
032c695b-30e1-5fb4-91a7-9c8e3903c678,2026-04-06T08:00:00Z,system,2026-04-06T08:00:00Z,system,PR0000000001,749e799d-dc59-5571-b15c-7d9bf9c77752,cb89079f-b137-594d-b7f6-f3803900b013,2026-04-06,2026-05-17,COMPLETED,NORMAL,Replacement of worn equipment,4633.70,EUR
a47ee75a-1b52-5524-b4f7-fda3b526b3bc,2025-12-14T08:00:00Z,system,2025-12-14T08:00:00Z,system,PR0000000002,784d909a-03fe-5442-985a-f87c223ba14e,87cb6569-bd40-5e24-8586-da21fbea3a81,2025-12-14,2025-12-23,CANCELLED,NORMAL,Scheduled maintenance requirement,326632.60,EUR
0c33b41f-7475-5dcc-9b01-8efdec2590db,2026-05-16T08:00:00Z,system,2026-05-16T08:00:00Z,system,PR0000000003,762dab21-f406-51e5-938f-353039145619,5b8df29c-4f7d-5b45-b24c-0b5a197ae2b0,2026-05-16,2026-05-29,APPROVED,NORMAL,Production material replenishment,42068.40,EUR
1a884596-ca16-5905-ba4d-2b877a63b284,2026-04-17T08:00:00Z,system,2026-04-17T08:00:00Z,system,PR0000000004,ef2ba588-e5f9-591f-9a01-16a28aec4a68,3cab26fd-f62f-5970-ad42-c321a067cf36,2026-04-17,2026-05-26,COMPLETED,URGENT,Safety stock replenishment,68474.80,EUR
658ee191-9f43-5b8c-bce0-cd429ac43107,2026-02-17T08:00:00Z,system,2026-02-17T08:00:00Z,system,PR0000000005,c32c1e85-18ed-594d-baed-92ee6152bb62,87cb6569-bd40-5e24-8586-da21fbea3a81,2026-02-17,2026-04-06,APPROVED,NORMAL,Safety stock replenishment,61860.00,EUR
f33816cc-0b18-579e-b3a2-5f8a09a730bc,2026-07-24T08:00:00Z,system,2026-07-24T08:00:00Z,system,PR0000000006,e5f6eca5-efd9-5b50-b3e2-8885e65c411d,03aef187-5272-56c7-bfc4-cf8b61ecf06b,2026-07-24,2026-08-18,COMPLETED,LOW,Scheduled maintenance requirement,349615.80,EUR
fe629c98-7e89-5fe1-9e4b-e66efffc7e18,2026-03-30T08:00:00Z,system,2026-03-30T08:00:00Z,system,PR0000000007,784d909a-03fe-5442-985a-f87c223ba14e,cb89079f-b137-594d-b7f6-f3803900b013,2026-03-30,2026-04-26,COMPLETED,HIGH,Production material replenishment,2403.22,EUR
19476d0e-e619-53ed-bfc7-48794b1fcc02,2026-05-08T08:00:00Z,system,2026-05-08T08:00:00Z,system,PR0000000008,cbe963d2-a4e6-5ec1-a15f-948ff5630895,3e8df789-1fad-5f45-9e4e-ae08a2240191,2026-05-08,2026-06-17,APPROVED,HIGH,Replacement of worn equipment,689894.10,EUR
967e4736-6774-5755-96e9-989b62b8329d,2026-04-15T08:00:00Z,system,2026-04-15T08:00:00Z,system,PR0000000009,78f316cf-bc76-5bab-9068-b36833d8b019,681d3a1f-6166-5793-8dd0-2f9ae8a7e909,2026-04-15,2026-06-21,APPROVED,NORMAL,Scheduled maintenance requirement,1617.75,EUR
35a412c1-4952-5c17-8db6-cbdec8d96d03,2026-03-23T08:00:00Z,system,2026-03-23T08:00:00Z,system,PR0000000010,e7550e96-a024-5ec6-9a52-a71b05d83aca,efd8a8e4-0bb8-5f9e-be95-16451417acb0,2026-03-23,2026-05-06,SUBMITTED,HIGH,Production material replenishment,147939.44,EUR
bd697693-f5c3-593b-a59c-8ecd45e32b05,2026-07-19T08:00:00Z,system,2026-07-19T08:00:00Z,system,PR0000000011,4b293d94-100e-5c47-9833-e5ff185c7eba,89693957-df41-5038-b06b-8fcd13674f65,2026-07-19,2026-09-10,COMPLETED,HIGH,Safety stock replenishment,97160.00,EUR
4daeb591-5fa3-5fb3-8a3c-58e3811329e0,2026-07-11T08:00:00Z,system,2026-07-11T08:00:00Z,system,PR0000000012,a8900ba9-a076-5a48-8859-1f3fc1e76071,12473360-94f1-5fba-a391-36ce9d7f31be,2026-07-11,2026-07-30,REJECTED,URGENT,Production material replenishment,196192.00,EUR
a50f4107-b757-561b-8ae5-8ed16eaea0a5,2026-07-13T08:00:00Z,system,2026-07-13T08:00:00Z,system,PR0000000013,d067fd48-952d-58ac-82ab-b2049abe787a,283bb6f3-df62-5cb4-9d4b-a62afcbbb11d,2026-07-13,2026-07-23,ORDERED,NORMAL,Production material replenishment,202352.50,EUR
2b7fa1b3-4614-526f-b6aa-023f18102704,2025-12-13T08:00:00Z,system,2025-12-13T08:00:00Z,system,PR0000000014,d14b0728-f72c-5fc0-a4ba-8ff48ceaa3cc,34b80a58-c167-5ea6-9b2c-d151aa2ea5a3,2025-12-13,2026-02-06,ORDERED,HIGH,Production material replenishment,76209.00,EUR
767478b2-9624-5a0c-af68-701f85654199,2026-04-12T08:00:00Z,system,2026-04-12T08:00:00Z,system,PR0000000015,e1c1d5bd-6452-5e7c-9911-1b5d499df0eb,34b80a58-c167-5ea6-9b2c-d151aa2ea5a3,2026-04-12,2026-04-19,APPROVED,NORMAL,Scheduled maintenance requirement,13.08,EUR
602a3fb3-c88f-5400-853d-e64b918aa267,2025-11-01T08:00:00Z,system,2025-11-01T08:00:00Z,system,PR0000000016,88db520f-00d6-51aa-8b62-c7a88dd50f4c,521489a3-799d-50a5-9448-eeaa409714d1,2025-11-01,2025-12-10,COMPLETED,HIGH,Production material replenishment,36455.00,EUR
c8bb0b60-b823-535d-8f19-a40779b42dc1,2025-09-07T08:00:00Z,system,2025-09-07T08:00:00Z,system,PR0000000017,f5b4b717-e857-50a0-b0af-aa491c52f9b9,34b80a58-c167-5ea6-9b2c-d151aa2ea5a3,2025-09-07,2025-09-25,COMPLETED,HIGH,Production material replenishment,304453.50,EUR
