ID,createdAt,createdBy,modifiedAt,modifiedBy,supplierNumber,companyName,country_code,city,postalCode,street,email,phone,taxNumber,currency_code,paymentTerms,incoterm,category,status,riskLevel,qualityRating,deliveryRating,sustainabilityScore,preferredSupplier
984c11de-cc53-5f88-b387-edbfeb6e675a,2025-03-24T08:00:00Z,system,2025-03-24T08:00:00Z,system,SUP0000001,Nova Packaging GmbH,GB,Manchester,10706,Market 56,procurement1@supplier.example,+45 867 437586,GB679679773,GBP,Z060,DDP,Mechanical Components,ACTIVE,MEDIUM,4.16,3.28,52.77,False
0e7989e3-b333-5cb4-9f42-168c3ddc0475,2025-03-25T08:00:00Z,system,2025-03-25T08:00:00Z,system,SUP0000002,Pacific Components S.A.,IT,Bologna,67748,Industrie 66,procurement2@supplier.example,+41 646 436208,IT733623456,EUR,0003,CIP,Office Supplies,ACTIVE,LOW,4.99,2.92,79.14,False
67a09cac-9b92-5bb0-9758-d477e2227557,2025-03-26T08:00:00Z,system,2025-03-26T08:00:00Z,system,SUP0000003,Rhein Supply Ltd.,CH,Zurich,46469,Industrie 11,procurement3@supplier.example,+48 615 413336,CH932338431,CHF,Z060,CIP,Chemicals,ACTIVE,LOW,3.13,3.78,88.16,False
bbe536c0-548b-5f63-9041-e346ae8009a3,2025-03-27T08:00:00Z,system,2025-03-27T08:00:00Z,system,SUP0000004,Pacific Electronics GmbH,PL,Poznan,98458,Industrie 99,procurement4@supplier.example,+40 652 366869,PL772562771,PLN,Z060,EXW,Electrical Components,ACTIVE,HIGH,4.56,3.74,58.70,False
2e617472-f9c2-5b53-a8b9-327c19b7a7b2,2025-03-28T08:00:00Z,system,2025-03-28T08:00:00Z,system,SUP0000005,Pacific Industrial AG,ES,Madrid,51923,Market 103,procurement5@supplier.example,+48 771 651058,ES328378479,EUR,0002,DAP,Electrical Components,ACTIVE,LOW,3.15,3.78,48.99,False
acfa3bba-ae74-54ea-9cb2-c7ece995c839,2025-03-29T08:00:00Z,system,2025-03-29T08:00:00Z,system,SUP0000006,Continental Materials AG,ES,Barcelona,29509,Commerce 10,procurement6@supplier.example,+38 793 605222,ES946013913,EUR,Z045,DDP,Raw Materials,ACTIVE,LOW,3.81,4.49,95.57,False
5fbcdd4c-a131-52b4-b068-b19472e199e6,2025-03-30T08:00:00Z,system,2025-03-30T08:00:00Z,system,SUP0000007,Metro Chemicals S.A.,GB,Manchester,36330,Harbor 37,procurement7@supplier.example,+41 266 185521,GB194493971,GBP,Z045,EXW,Mechanical Components,ACTIVE,HIGH,4.58,3.59,72.25,False
f63b9909-85ce-59ad-9d5e-17342163100f,2025-03-31T08:00:00Z,system,2025-03-31T08:00:00Z,system,SUP0000008,Nova Steel S.A.,CZ,Prague,35060,Industrie 64,procurement8@supplier.example,+37 927 236267,CZ758855389,CZK,Z030,DDP,Chemicals,ACTIVE,LOW,4.81,4.37,88.67,True
1e6af728-f1a9-58e4-83dd-e019059d95b9,2025-04-01T08:00:00Z,system,2025-04-01T08:00:00Z,system,SUP0000009,Delta Packaging AG,PL,Wroclaw,59948,Market 55,procurement9@supplier.example,+33 664 898842,PL144941124,PLN,Z030,FCA,MRO,ACTIVE,MEDIUM,4.36,2.81,76.56,False
5cfd420c-6305-56f0-b599-3c1c4c1b5282,2025-04-02T08:00:00Z,system,2025-04-02T08:00:00Z,system,SUP0000010,Summit Components S.A.,PL,Poznan,86628,Market 63,procurement10@supplier.example,+41 317 808509,PL868934466,PLN,Z030,CIP,Chemicals,ACTIVE,LOW,5.00,3.38,73.96,False
1687ebd0-4f66-5790-9b72-e3238b0ae7f7,2025-04-03T08:00:00Z,system,2025-04-03T08:00:00Z,system,SUP0000011,Vertex Plastics Inc.,ES,Madrid,90951,Harbor 19,procurement11@supplier.example,+47 140 338110,ES180053985,EUR,0003,CIP,Raw Materials,ACTIVE,LOW,4.66,4.83,83.69,True
